Date,Temperature
01-Jan,19.00
02-Jan,18.00
03-Jan,19
04-Jan,20
05-Jan,19
06-Jan,18
07-Jan,17
08-Jan,18
09-Jan,19
10-Jan,19
11-Jan,18
12-Jan,19
13-Jan,20
14-Jan,19
15-Jan,18
16-Jan,17
17-Jan,18
18-Jan,19
19-Jan,19
20-Jan,18
21-Jan,18
22-Jan,17
23-Jan,17
24-Jan,18
25-Jan,19
26-Jan,20
27-Jan,21
28-Jan,20
29-Jan,19
30-Jan,20
31-Jan,19
01-Feb,18
02-Feb,19
03-Feb,20
04-Feb,21
05-Feb,21
06-Feb,20
07-Feb,20
08-Feb,19
09-Feb,18
10-Feb,19
11-Feb,19
12-Feb,20
13-Feb,20
14-Feb,19
15-Feb,20
16-Feb,19
17-Feb,21
18-Feb,20
19-Feb,20
20-Feb,19
21-Feb,20
22-Feb,20
23-Feb,21
24-Feb,22
25-Feb,21
26-Feb,22
27-Feb,21
28-Feb,22
01-Mar,22
02-Mar,23
03-Mar,21
04-Mar,22
05-Mar,23
06-Mar,22
07-Mar,22
08-Mar,23
09-Mar,20
10-Mar,21
11-Mar,22
12-Mar,23
13-Mar,23
14-Mar,22
15-Mar,22
16-Mar,21
17-Mar,22
18-Mar,21
19-Mar,22
20-Mar,23
21-Mar,23
22-Mar,23
23-Mar,24
24-Mar,23
25-Mar,22
26-Mar,23
27-Mar,23
28-Mar,22
29-Mar,24
30-Mar,24
31-Mar,23
01-Apr,22
02-Apr,23
03-Apr,24
04-Apr,24
05-Apr,23
06-Apr,23
07-Apr,22
08-Apr,23
09-Apr,24
10-Apr,24
11-Apr,23
12-Apr,23
13-Apr,25
14-Apr,23
15-Apr,23
16-Apr,24
17-Apr,23
18-Apr,25
19-Apr,24
20-Apr,26
21-Apr,25
22-Apr,24
23-Apr,25
24-Apr,26
25-Apr,25
26-Apr,24
27-Apr,25
28-Apr,25
29-Apr,24
30-Apr,26
01-May,27
02-May,28
03-May,27
04-May,26
05-May,26
06-May,27
07-May,28
08-May,29
09-May,30
10-May,30
11-May,31
12-May,32
13-May,32
14-May,31
15-May,30
16-May,34
17-May,34
18-May,33
19-May,32
20-May,34
21-May,32
22-May,33
23-May,35
24-May,35
25-May,34
26-May,35
27-May,36
28-May,35
29-May,35
30-May,35
31-May,34
01-Jun,33
02-Jun,34
03-Jun,35
04-Jun,35
05-Jun,35
06-Jun,35
07-Jun,36
08-Jun,35
09-Jun,36
10-Jun,36
11-Jun,35
12-Jun,35
13-Jun,36
14-Jun,36
15-Jun,37
16-Jun,38
17-Jun,36
18-Jun,35
19-Jun,37
20-Jun,36
21-Jun,37
22-Jun,37
23-Jun,36
24-Jun,35
25-Jun,35
26-Jun,35
27-Jun,34
28-Jun,35
29-Jun,35
30-Jun,36
01-Jul,36
02-Jul,35
03-Jul,36
04-Jul,34
05-Jul,34
06-Jul,33
07-Jul,32
08-Jul,35
09-Jul,34
10-Jul,34
11-Jul,35
12-Jul,35
13-Jul,33
14-Jul,32
15-Jul,34
16-Jul,36
17-Jul,35
18-Jul,33
19-Jul,32
20-Jul,33
21-Jul,31
22-Jul,33
23-Jul,34
24-Jul,36
25-Jul,33
26-Jul,32
27-Jul,31
28-Jul,33
29-Jul,32
30-Jul,30
31-Jul,33
01-Aug,31
02-Aug,32
03-Aug,33
04-Aug,32
05-Aug,32
06-Aug,32
07-Aug,36
08-Aug,32
09-Aug,32
10-Aug,34
11-Aug,33
12-Aug,32
13-Aug,31
14-Aug,32
15-Aug,33
16-Aug,34
17-Aug,35
18-Aug,34
19-Aug,33
20-Aug,32
21-Aug,31
22-Aug,32
23-Aug,33
24-Aug,33
25-Aug,33
26-Aug,33
27-Aug,33
28-Aug,32
29-Aug,32
30-Aug,32
31-Aug,32
01-Sep,31
02-Sep,31
03-Sep,31
04-Sep,32
05-Sep,31
06-Sep,30
07-Sep,29
08-Sep,30
09-Sep,31
10-Sep,32
11-Sep,29
12-Sep,30
13-Sep,31
14-Sep,32
15-Sep,32
16-Sep,31
17-Sep,30
18-Sep,32
19-Sep,31
20-Sep,30
21-Sep,31
22-Sep,31
23-Sep,30
24-Sep,30
25-Sep,30
26-Sep,30
27-Sep,30
28-Sep,31
29-Sep,31
30-Sep,30
01-Oct,31
02-Oct,29
03-Oct,29
04-Oct,29
05-Oct,28
06-Oct,28
07-Oct,27
08-Oct,27
09-Oct,27
10-Oct,26
11-Oct,26
12-Oct,26
13-Oct,27
14-Oct,26
15-Oct,27
16-Oct,26
17-Oct,27
18-Oct,25
19-Oct,25
20-Oct,25
21-Oct,24
22-Oct,23
23-Oct,23
24-Oct,23
25-Oct,24
26-Oct,23
27-Oct,22
28-Oct,23
29-Oct,23
30-Oct,23
31-Oct,24
01-Nov,23
02-Nov,22
03-Nov,21
04-Nov,21
05-Nov,20
06-Nov,21
07-Nov,20
08-Nov,21
09-Nov,22
10-Nov,20
11-Nov,21
12-Nov,20
13-Nov,20
14-Nov,19
15-Nov,18
16-Nov,17
17-Nov,20
18-Nov,19
19-Nov,18
20-Nov,20
21-Nov,21
22-Nov,20
23-Nov,21
24-Nov,19
25-Nov,20
26-Nov,20
27-Nov,21
28-Nov,20
29-Nov,19
30-Nov,18
01-Dec,18
02-Dec,19
03-Dec,19
04-Dec,18
05-Dec,19
06-Dec,18
07-Dec,16
08-Dec,18
09-Dec,19
10-Dec,16
11-Dec,17
12-Dec,17
13-Dec,18
14-Dec,19
15-Dec,20
16-Dec,18
17-Dec,18
18-Dec,19
19-Dec,20
20-Dec,20
21-Dec,21
22-Dec,19
23-Dec,18
24-Dec,19
25-Dec,17
26-Dec,18
27-Dec,18
28-Dec,19
29-Dec,21
30-Dec,20
31-Dec,20
